position,playerId,playerName,minutesPlayed,expected_danger_per_90,danger_passes_per_90,total_danger,total_danger_passes,total_passes
LAMF,25571,J. Ayew,280.0,0.646178613822097,5.464285714285714,2.010333465224302,17,103
LB5,25571,J. Ayew,85.0,0.5306984408438302,4.235294117647059,0.501215194130284,4,28
LCMF3,25571,J. Ayew,27.0,0.09699830490960767,0.0,0.0290994914728823,0,2
LW,25571,J. Ayew,75.0,0.502243143537533,2.4000000000000004,0.4185359529479441,2,24
LWF,25571,J. Ayew,7.0,2.667947446811299,25.71428571428571,0.2075070236408788,2,9
RAMF,25571,J. Ayew,417.0,0.4240578127697968,3.237410071942446,1.9648011991667254,15,108
RW,25571,J. Ayew,367.0,0.3658925844272931,2.6975476839237054,1.4920286498312951,11,77
LB,25701,L. Digne,2309.0,0.73032891156629,5.145084452143785,18.736993964517374,132,1178
LCB,25701,L. Digne,90.0,0.36126357038764495,1.0,0.3612635703876449,1,28
LCB3,25701,L. Digne,90.0,0.0057441762527368,0.0,0.0057441762527368,0,1
LWB,25701,L. Digne,78.0,0.8729610490173806,4.615384615384615,0.7565662424817299,4,41
DMF,25706,I. Gueye,515.0,0.32006575025741596,0.6990291262135923,1.8314873486952137,4,156
LCMF,25706,I. Gueye,423.0,0.46973652339496147,2.5531914893617023,2.207761659956319,12,201
LDMF,25706,I. Gueye,1276.0,0.4420073373273553,1.9043887147335423,6.266681804774504,27,586
RCMF,25706,I. Gueye,90.0,0.052579042641139204,0.0,0.052579042641139204,0,5
RCMF3,25706,I. Gueye,90.0,0.0158616763254002,0.0,0.0158616763254002,0,2
RDMF,25706,I. Gueye,1128.0,0.38090597324347675,1.1170212765957448,4.774021531318241,14,454
AMF,28292,A. Doucouré,1332.0,0.33574843643968405,1.8243243243243243,4.969076859307324,27,419
CF,28292,A. Doucouré,152.0,0.3549898690496414,1.1842105263157894,0.5995384455060611,2,39
LAMF,28292,A. Doucouré,90.0,0.11706895886942639,1.0,0.11706895886942639,1,4
LCMF3,28292,A. Doucouré,416.0,0.2725743989189111,1.2980769230769231,1.2598994438918558,6,109
LDMF,28292,A. Doucouré,180.0,0.23630882835316763,0.5,0.4726176567063353,1,40
RCMF,28292,A. Doucouré,70.0,0.6954946167623943,3.857142857142857,0.5409402574818623,3,33
RDMF,28292,A. Doucouré,621.0,0.35920233709036115,1.1594202898550725,2.478496125923492,8,223
SS,28292,A. Doucouré,90.0,0.2547625194857905,3.0,0.2547625194857905,3,18
AMF,29640,M. Lemina,180.0,0.08823061534715075,1.5,0.1764612306943015,3,16
CB,29640,M. Lemina,90.0,0.0236120996101866,0.0,0.0236120996101866,0,2
DMF,29640,M. Lemina,90.0,0.0951892552267094,0.0,0.0951892552267094,0,9
LB,29640,M. Lemina,90.0,0.050756367696146595,0.0,0.050756367696146595,0,8
LCMF,29640,M. Lemina,496.0,0.27935346446325876,0.907258064516129,1.5395479819308482,5,131
LCMF3,29640,M. Lemina,180.0,0.10415776957729304,0.0,0.2083155391545861,0,20
LDMF,29640,M. Lemina,359.0,0.2437965827307339,1.0027855153203342,0.9724774800037053,4,81
RCB,29640,M. Lemina,270.0,0.2020910898182164,0.0,0.6062732694546492,0,63
RCB3,29640,M. Lemina,270.0,0.3955628281490985,1.0,1.1866884844472954,3,111
RCMF,29640,M. Lemina,252.0,0.31611809226114485,1.7857142857142856,0.8851306583312055,5,99
RDMF,29640,M. Lemina,90.0,0.4103375593065793,3.0,0.4103375593065793,3,31
RW,29640,M. Lemina,90.0,0.3497228837465406,6.0,0.3497228837465406,6,23
GK,37897,M. Sels,3420.0,0.1715555849924842,0.2631578947368421,6.519112229714399,10,886
AMF,38021,K. De Bruyne,1237.0,1.0673877030715446,10.404203718674212,14.67065098555001,143,805
CF,38021,K. De Bruyne,168.0,0.3580388537866833,3.214285714285714,0.6683391937351423,6,56
LCMF,38021,K. De Bruyne,90.0,0.7013290574946637,5.0,0.7013290574946637,5,53
LWF,38021,K. De Bruyne,21.0,0.19359791071661916,0.0,0.0451728458338778,0,7
RCMF,38021,K. De Bruyne,387.0,0.725638794824478,6.511627906976743,3.120246817745256,28,210
RCMF3,38021,K. De Bruyne,20.0,2.5949971724082963,27.0,0.5766660383129547,6,27
DMF,40756,Casemiro,66.0,0.8183413098100913,8.181818181818182,0.6001169605274004,6,37
LCMF,40756,Casemiro,674.0,0.4964377981516162,1.7359050445103859,3.717767510602104,13,358
LDMF,40756,Casemiro,269.0,0.5350417196123085,2.6765799256505574,1.5991802508412332,8,132
RCB,40756,Casemiro,11.0,2.0372466427968052,8.181818181818182,0.2489968118973873,1,23
RCMF,40756,Casemiro,475.0,0.4103997780635735,2.463157894736842,2.16599882866886,13,162
RDMF,40756,Casemiro,406.0,0.5578188283608964,2.6600985221674875,2.5163827146058217,12,229
LAMF,40787,Emerson Palmieri,90.0,0.18186277274340953,1.0,0.1818627727434095,1,16
LB,40787,Emerson Palmieri,1559.0,0.5372330242570666,2.5400898011545863,9.30606983129741,44,738
LB5,40787,Emerson Palmieri,443.0,0.16835982417499826,1.2189616252821671,0.8287044678836025,6,58
LW,40787,Emerson Palmieri,90.0,0.1326649429948426,2.0,0.1326649429948426,2,8
LWB,40787,Emerson Palmieri,573.0,0.4277728987691154,1.8848167539267018,2.7234874554967012,12,222
CB,50102,F. Schär,270.0,0.4867272535352192,0.33333333333333337,1.4601817606056575,1,140
RCB,50102,F. Schär,2765.0,0.5663635298624906,0.8462929475587704,17.399946222997627,26,1672
RCB3,50102,F. Schär,360.0,0.33082601231881875,0.5,1.323304049275275,2,124
GK,50798,R. Olsen,233.0,0.3199026190019716,0.0,0.8281923358606598,0,94
RB,51064,E. Krafth,124.0,0.3931247697718926,1.4516129032258065,0.5416385716857186,2,56
RCB,51064,E. Krafth,266.0,0.299790567252478,0.0,0.8860476765462126,0,84
RCB3,51064,E. Krafth,55.0,0.4217190786551064,0.0,0.25771721473367615,0,22
