player_id,team_id,position,total_minutes_played,total_matches_played,match_ids
14808,1625,,5,1,5588343
14808,1625,Midfielder,2174,31,"5588096,5588109,5588116,5588126,5588137,5588148,5588159,5588168,5588170,5588181,5588197,5588204,5588217,5588222,5588235,5588240,5588255,5588276,5588281,5588294,5588306,5588326,5588337,5588367,5588376,5588387,5588403,5588415,5588428,5588448,5588451"
14808,1625,Winger,90,1,5588395
14911,1624,Striker,125,2,"5588098,5588438"
14911,1624,Winger,2031,28,"5588089,5588107,5588118,5588128,5588158,5588178,5588187,5588197,5588207,5588212,5588228,5588238,5588248,5588257,5588268,5588278,5588280,5588293,5588308,5588312,5588328,5588335,5588343,5588357,5588364,5588375,5588388,5588441"
15146,1625,Goalkeeper,1106,13,"5588204,5588217,5588222,5588240,5588255,5588266,5588276,5588281,5588310,5588367,5588395,5588403,5588415"
15806,1631,Central Defender,1396,18,"5588089,5588094,5588172,5588185,5588200,5588216,5588226,5588236,5588246,5588254,5588266,5588270,5588284,5588295,5588308,5588314,5588336,5588344"
20922,1659,Goalkeeper,180,2,"5588085,5588091"
21315,1609,Midfielder,731,15,"5588118,5588140,5588175,5588190,5588208,5588210,5588224,5588230,5588261,5588272,5588324,5588342,5588383,5588390,5588440"
25418,1633,Goalkeeper,2267,26,"5588086,5588093,5588109,5588114,5588129,5588132,5588149,5588158,5588258,5588269,5588276,5588300,5588313,5588329,5588330,5588344,5588358,5588363,5588374,5588389,5588394,5588409,5588412,5588429,5588434,5588449"
25486,1642,Central Defender,170,5,"5588085,5588097,5588263,5588318,5588380"
25486,1642,Midfielder,4,1,5588237
25571,1628,Striker,24,1,5588087
25571,1631,Midfielder,488,8,"5588147,5588157,5588200,5588216,5588427,5588436,5588447,5588450"
25571,1631,Striker,132,3,"5588094,5588185,5588376"
25571,1631,Winger,1093,19,"5588105,5588113,5588124,5588130,5588167,5588172,5588196,5588226,5588246,5588254,5588270,5588284,5588295,5588308,5588314,5588324,5588336,5588366,5588419"
25701,1614,Central Defender,90,1,5588300
25701,1614,Full Back,2297,31,"5588086,5588090,5588105,5588110,5588120,5588135,5588141,5588151,5588161,5588178,5588184,5588191,5588202,5588211,5588220,5588237,5588240,5588256,5588260,5588270,5588282,5588290,5588319,5588320,5588346,5588350,5588361,5588372,5588415,5588421,5588430"
25706,1623,Midfielder,3072,37,"5588083,5588098,5588103,5588110,5588134,5588146,5588152,5588166,5588177,5588188,5588193,5588205,5588213,5588223,5588230,5588243,5588255,5588263,5588271,5588282,5588293,5588302,5588314,5588322,5588333,5588340,5588359,5588363,5588379,5588383,5588397,5588403,5588413,5588426,5588431,5588446,5588455"
28292,1623,Midfielder,2349,30,"5588098,5588103,5588124,5588134,5588146,5588152,5588166,5588188,5588193,5588205,5588213,5588230,5588243,5588255,5588263,5588271,5588282,5588293,5588302,5588314,5588333,5588359,5588363,5588379,5588383,5588397,5588413,5588431,5588446,5588455"
28292,1623,Striker,242,3,"5588083,5588223,5588403"
29640,1629,Central Defender,270,3,"5588194,5588209,5588213"
29640,1629,Midfielder,1017,13,"5588082,5588099,5588108,5588120,5588139,5588142,5588159,5588163,5588179,5588189,5588229,5588239,5588279"
29640,1629,Winger,90,1,5588119
37897,1642,Goalkeeper,3420,38,"5588085,5588097,5588108,5588115,5588121,5588138,5588144,5588156,5588167,5588176,5588186,5588190,5588206,5588217,5588227,5588237,5588241,5588257,5588263,5588279,5588285,5588298,5588301,5588318,5588323,5588338,5588342,5588356,5588365,5588373,5588380,5588397,5588408,5588417,5588425,5588436,5588449,5588456"
38021,1625,Midfielder,1554,25,"5588088,5588096,5588109,5588116,5588181,5588197,5588204,5588217,5588222,5588235,5588255,5588266,5588276,5588281,5588294,5588310,5588337,5588356,5588367,5588387,5588395,5588403,5588437,5588448,5588451"
38021,1625,Striker,171,2,"5588415,5588428"
38021,1625,Winger,21,1,5588306
40756,1611,Central Defender,11,1,5588117
40756,1611,Midfielder,1529,23,"5588080,5588092,5588106,5588136,5588141,5588154,5588169,5588174,5588185,5588195,5588205,5588259,5588267,5588328,5588333,5588349,5588355,5588366,5588373,5588387,5588411,5588444,5588454"
40787,1633,Full Back,2155,31,"5588086,5588093,5588109,5588114,5588129,5588132,5588149,5588158,5588169,5588176,5588188,5588198,5588208,5588216,5588229,5588249,5588258,5588269,5588286,5588299,5588300,5588313,5588329,5588344,5588363,5588374,5588389,5588409,5588412,5588429,5588434"
50102,1613,Central Defender,2945,34,"5588084,5588119,5588123,5588137,5588146,5588155,5588164,5588175,5588186,5588198,5588203,5588218,5588221,5588236,5588245,5588256,5588267,5588297,5588307,5588317,5588326,5588338,5588348,5588358,5588368,5588377,5588386,5588396,5588400,5588416,5588423,5588435,5588440,5588455"
50798,1614,Goalkeeper,233,4,"5588202,5588346,5588350,5588454"
51064,1613,Central Defender,321,7,"5588084,5588091,5588107,5588326,5588368,5588400,5588440"
51064,1613,Full Back,73,5,"5588377,5588386,5588396,5588423,5588435"
56262,1669,Midfielder,2830,34,"5588087,5588095,5588101,5588116,5588142,5588154,5588162,5588171,5588180,5588193,5588200,5588221,5588233,5588241,5588252,5588261,5588277,5588281,5588291,5588303,5588312,5588329,5588336,5588350,5588362,5588377,5588381,5588390,5588401,5588417,5588422,5588432,5588442,5588459"
61941,1624,Goalkeeper,630,7,"5588207,5588212,5588228,5588238,5588248,5588257,5588268"
62126,1629,Central Defender,1661,20,"5588246,5588259,5588268,5588279,5588288,5588292,5588309,5588319,5588325,5588332,5588345,5588359,5588369,5588374,5588385,5588399,5588419,5588428,5588439,5588459"
62126,1629,Full Back,483,10,"5588082,5588099,5588108,5588119,5588189,5588194,5588213,5588229,5588239,5588407"
62224,1619,Central Defender,6,1,5588307
62224,1619,Full Back,115,2,"5588199,5588201"
62224,1619,Winger,271,5,"5588117,5588127,5588131,5588157,5588219"
69404,1625,Midfielder,2234,31,"5588088,5588096,5588109,5588116,5588126,5588137,5588148,5588159,5588168,5588170,5588181,5588235,5588240,5588255,5588266,5588276,5588281,5588294,5588306,5588310,5588326,5588337,5588343,5588356,5588387,5588395,5588403,5588415,5588428,5588437,5588448"
70381,1631,Full Back,368,7,"5588167,5588172,5588386,5588392,5588406,5588419,5588447"
70381,1631,Midfielder,55,3,"5588352,5588376,5588450"
71654,1625,Goalkeeper,2321,26,"5588088,5588096,5588109,5588116,5588126,5588137,5588148,5588159,5588168,5588170,5588181,5588197,5588235,5588294,5588306,5588326,5588337,5588343,5588356,5588376,5588387,5588395,5588428,5588437,5588448,5588451"
71703,1611,,4,1,5588349
71703,1611,Central Defender,699,13,"5588154,5588169,5588235,5588355,5588366,5588387,5588396,5588407,5588411,5588422,5588434,5588444,5588454"
71703,1611,Full Back,51,1,5588141
71703,1611,Midfielder,12,1,5588174
83150,1633,Central Defender,227,5,"5588249,5588300,5588313,5588429,5588452"
83150,1633,Full Back,894,17,"5588086,5588093,5588109,5588114,5588188,5588198,5588208,5588216,5588231,5588258,5588269,5588276,5588394,5588409,5588412,5588434,5588449"
95349,1612,Central Defender,26,1,5588453
95349,1612,Full Back,37,2,"5588414,5588443"
