matchId,passEventId,passTeamId,passPlayerId,passTimeSeconds,startX,startY,endX,endY,becameShot,shotEventId,shotOutcome,shotPlayerId,shotPlayerName,shotStartX,shotStartY,isGoal,shot_dist_to_goal,shot_goal_angle,goalProbability
5588085,2264088583,1659,698840,252,75,63,68,61,True,2264088587,No Goal,557406,A. Semenyo,82.0,50.0,0.0,18.0,1.250970080478458,0.09011314169598303
5588085,2264089101,1659,302518,295,100,0,98,48,True,2264088596,No Goal,698840,Dango Ouattara,98.0,51.0,0.0,2.23606797749979,2.8345469215710026,0.3960605640814444
5588085,2264088634,1642,450826,1047,78,24,73,33,True,2264088635,No Goal,448645,M. Gibbs-White,73.0,33.0,0.0,31.906112267087632,0.6909028696199875,0.0127662109162128
5588085,2264088720,1642,9206,1342,79,32,79,23,True,2264088724,Goal,9206,C. Wood,93.0,42.0,1.0,10.63014581273465,1.8692952583810758,0.23237515987781188
5588085,2264088783,1642,448645,1563,79,10,75,23,True,2264088784,No Goal,240378,O. Aina,75.0,23.0,0.0,36.796738985948195,0.5017086895345584,0.019461134835837307
5588085,2264088842,1642,566474,1768,70,9,75,19,True,2264088845,No Goal,566474,A. Elanga,75.0,31.0,0.0,31.400636936215164,0.67204835336794,0.01869172592464108
5588085,2264088846,1642,240378,1812,85,0,93,34,True,2264088850,No Goal,450826,C. Hudson-Odoi,79.0,36.0,0.0,25.238858928247925,0.8621700546672264,0.04215096048361458
5588085,2264089090,1659,400575,1840,80,38,82,47,True,2264089092,No Goal,423316,L. Sinisterra,83.0,38.0,0.0,20.808652046684813,1.0323754914179417,0.07251334227844666
5588085,2264088937,1642,450826,2428,85,15,78,52,True,2264088938,No Goal,454242,R. Yates,78.0,52.0,0.0,22.090722034374522,1.0620665024793432,0.05384477171558727
5588085,2264088939,1642,566474,2433,82,64,91,68,True,2264088940,No Goal,470834,N. Williams,91.0,68.0,0.0,20.12461179749811,0.7811428699329722,0.06809235420675691
5588085,2264089115,1642,566474,3079,90,35,85,28,True,2264089116,No Goal,450826,C. Hudson-Odoi,85.0,28.0,0.0,26.627053911388696,0.625485040239229,0.043314782655122314
