matchId,passEventId,passTeamId,passPlayerId,startX,startY,shotX,shotY,shotIsGoal,shot_probability,model_xG,pass_goal_probability
5588100,2285324241,1651,358801,87,11,77.0,59.0,False,0.13383894713333494,0.01248,0.14464863707311104
5588100,2285324242,1651,534324,78,25,87.0,60.0,False,0.1674082294512412,0.2775,0.3984524457785219
5588100,2285324243,1651,590781,69,46,87.0,60.0,False,0.1852923336417114,0.2775,0.4113737110561365
5588100,2285324244,1651,719786,77,38,87.0,60.0,False,0.22640954250297757,0.2775,0.44108089445840126
5588100,2285324318,1651,358801,100,0,92.0,42.0,False,0.208328739839379,0.1228,0.3055459705871032
5588100,2285324377,1651,590781,60,42,87.0,68.0,False,0.1284331439027223,0.00913,0.13639054929889038
5588100,2285324378,1651,600189,74,34,87.0,68.0,False,0.17618646705130728,0.00913,0.18370788460712884
5588100,2285324380,1651,599817,74,28,87.0,68.0,False,0.1757634788278022,0.00913,0.18328875826610436
5588100,2285324381,1651,719786,74,42,87.0,68.0,False,0.3007423013368873,0.00913,0.30712652412568153
5588100,2285324391,1651,9097,59,18,83.0,46.0,False,0.05163131171570297,0.07077,0.1187473637855827
5588100,2285324393,1651,552926,75,22,83.0,46.0,False,0.1560385171590502,0.07077,0.21576567129970414
5588100,2285324394,1651,677949,73,40,83.0,46.0,False,0.2176212386785675,0.07077,0.27299018361728533
5588100,2285324440,1651,622482,33,46,93.0,51.0,False,0.03763935369424359,0.2435,0.27197417106969524
5588100,2285324441,1651,9097,42,39,93.0,51.0,False,0.03664579692949399,0.2435,0.2712225453771623
5588100,2285324443,1651,358801,53,12,93.0,51.0,False,0.04338482329202451,0.2435,0.2763206188204166
5588100,2285324446,1651,600189,86,14,93.0,51.0,False,0.33395581425293824,0.2435,0.49613757348234777
5588100,2285324449,1651,600189,100,0,87.0,25.0,False,0.12175373959335545,0.005037,0.12617746600702373
5588100,2285324462,1651,358801,77,15,88.0,37.0,False,0.2081044329535449,0.01097,0.2167915273240445
